=SUM(L3:L78),,,,,,,,,,,,
サブ基準ID,サブ基準名称または説明,マーキング当日,アスペクトタイプ (M=測定/J=判定),アスペクト - 詳細,ジャッジスコア,追加アスペクトの説明（測定または判定）または判定スコアの説明（判定のみ）,必要条件(測定のみ）,WSOSセクション,計算行 (エクスポートのみ）,マックスマーク,基準B,合計マーク
,,,M,商品リストJSONでは、キーワードによる検索が可能です。,,GET /products.json?query=KEYWORD.名前、フランス語での名前、説明、フランス語での説明を検索します。エラーごとに0.25を差し引きます,,5,2,0.75,,
B6,GTINクエリーと検証,1,,,,,,,,,,
,,,M,検証ページをロードできる,,タイトル、一括入力テキストエリア、送信ボタンがある。欠落1つにつき0.25を差し引く。,,5,2,0.50,,
,,,M,複数のGTINコードを入力し、結果を確認するために送信することができます。,,,,5,1,0.25,,
,,,M,結果ページのデータは正しい,,エラー1回につき0.25ドル差し引く,,5,2,0.50,,
,,,M,GTIN認証エラーがない場合、結果ページには「All corrects」と緑色のチェックが表示されます。,,,,5,1,0.50,,
B7,一般向け製品ページ,1,,,,,,,,,,
,,,M,製品の公開ページは、/XX_module_b/01/GTINにアクセスすることで表示されます。,,,,5,1,0.25,,
,,,M,公開されている商品ページには必須項目が表示されています。また、モバイルレイアウトになっています。,,会社名、商品名、商品説明、商品画像、重量、正味量。記入漏れ1件につき0.25円差し引きます。,,3,2,0.75,,
,,,M,公開される商品ページは、英語とフランス語から選択可能,,それに応じて内容も変わる,,3,1,0.25,,
,,,M,ページ、フランス語部分、英語部分のlang属性は正しく設定されています。,,,,3,1,0.25,,
